start,end,sent,mention,labels,pos,ner,type,ner2
0,1,"China 's processing trade was mainly developed from the transfer of labor-intensive manufacturing industries or work processes from developed countries such as the US , Japan , etc . and countries and regions such as Singapore , Korea , Hong Kong , Taiwan , etc. , in order to reduce production costs and raise competitiveness .",China,/location/country /location,"NNP POS NN NN VBD RB VBN IN DT NN IN JJ NN NNS CC NN NNS IN JJ NNS JJ IN DT NNP , NNP , FW . CC NNS CC NNS JJ IN NNP , NNP , NNP NNP , NNP , FW , IN NN TO VB NN NNS CC VB NN .",LOCATION O O O O O O O O O O O O O O O O O O O O O O LOCATION O LOCATION O O O O O O O O O LOCATION O LOCATION O LOCATION LOCATION O LOCATION O O O O O O O O O O O O O,/location/country O O O O O O O O O O O O O O O O O O O O O O /location/country O /location/country O O O O O O O O O /location/city O /location/country O /location/city /location/city O /location/province O O O O O O O O O O O O O,COUNTRY O O O O O O O O O O O O O O O O O O O O O O COUNTRY O COUNTRY O O O O O O O O O COUNTRY O COUNTRY O CITY CITY O COUNTRY O O O O O O O O O O O O O
2,3,so well late winter I guess % um,late,/other/health/malady /other/health,RB RB JJ NN PRP VBP NN NN,O O O O O PERCENT PERCENT O,O O /other/datetime/date /other/datetime/date O /other/percent /other/percent O,O O DATE DATE O PERCENT PERCENT O
16,17,"The government of Prime Minister Fouad Al Siniora has worked since it was established to get Lebanon out of the financial crisis and to improve the economic situation , and it has worked also for holding this conference .",Lebanon,/location/country /location,"DT NN IN NNP NNP NNP NNP NNP VBZ VBN IN PRP VBD VBN TO VB NNP IN IN DT JJ NN CC TO VB DT JJ NN , CC PRP VBZ VBN RB IN VBG DT NN .",O O O O O PERSON PERSON PERSON O O O O O O O O LOCATION O O O O O O O O O O O O O O O O O O O O O O,O O O /contact/salutation /contact/salutation /contact/name /contact/name /contact/name O O O O O O O O /location/county/us_county O O O O O O O O O O O O O O O O O O O O O O,O O O TITLE TITLE PERSON PERSON PERSON O O O O O O O O COUNTRY O O O O O O O O O O O O O O O O O O O O O O
2,3,VOA 's Laurie Cassman reports there apparently was no breakthrough .,Laurie,/person/artist/actor /person/artist/director /person/artist /person/artist/author /person,NNP POS NNP NNP VBZ EX RB VBD DT NN .,ORGANIZATION O PERSON PERSON O O O O O O O,/other/organization O /contact/name /contact/name O O O O O O O,ORGANIZATION O PERSON PERSON O O O O O O O
0,1,"The electricity charge was RMB .87 a kilowatt hour , and there were various tax incentives , `` explains Wang Jung-tuo , who notes there is still room for negotiation .",The,/person/artist /person/political_figure /person/artist/actor /person/artist/author /person/military /person,"DT NN NN VBD NNP CD DT NN NN , CC EX VBD JJ NN NNS , `` VBZ NNP NN , WP VBZ EX VBZ RB NN IN NN .",O O O O ORGANIZATION O O O O O O O O O O O O O O PERSON PERSON O O O O O O O O O O,O O O O O /other/number O O /other/datetime O O O O O O O O O O /contact/first_name /contact/first_name O O O O O O O O O O,O O O O O NUMBER O O DURATION O O O O O O O O O O PERSON PERSON O O O O O O O O O O
8,9,"But , says the general manager of a network affiliate in the Midwest , `` I think if I tell them I need more time , they 'll take ` Cosby ' across the street , ''",network,/organization/company/broadcast /organization /organization/company,"CC , VBZ DT JJ NN IN DT NN NN IN DT NNP , `` PRP VBP IN PRP VBP PRP PRP VBP JJR NN , PRP MD VB `` NNP '' IN DT NN , ''",O O O O O O O O O O O O LOCATION O O O O O O O O O O O O O O O O O O O O O O O O,O O O O /contact/salutation /contact/salutation O O O O O O /location/city O O O O O O O O O O O O O O O O O /contact/first_name O O O O O O,O O O O TITLE TITLE O O O O O O LOCATION O O O O O O O O O O O O O O O O O O O O O O O O
7,9,Friday capped a week of steadily rising crude oil prices in both futures and spot markets .,crude oil,/other/health/treatment /other/scientific /other/health,NNP VBD DT NN IN RB VBG JJ NN NNS IN DT NNS CC NN NNS .,DATE O O O O O O O O O O O O O O O O,/other/datetime/date O /other/datetime /other/datetime O O O O O O O O O O O O O,DATE O DURATION DURATION O O O O O O O O O O O O O
11,12,"You built this Temple , and I have made it a holy place .",holy,/location,"PRP VBD DT NNP , CC PRP VBP VBN PRP DT JJ NN .",O O O ORGANIZATION O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
0,1,Houses in the West Bank village of Bagella have been attached by Israeli helicopter gunships .,Houses,/person/artist /person/artist/author /location /organization/government /organization /person,NNS IN DT NNP NNP NN IN NNP VBP VBN VBN IN JJ NN NNS .,O O O LOCATION LOCATION O O O O O O O O O O O,O O O /location /location O O /location O O O O /bio/nationality O O O,O O O LOCATION LOCATION O O LOCATION O O O O NATIONALITY O O O
7,8,The other people on earth were not killed by these plagues .,killed,/other/health/malady /other/health,DT JJ NNS IN NN VBD RB VBN IN DT NNS .,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
